,channel,subs,title,views,date,like,hate,review,hashtag1,hashtag2,hashtag3
1,프레이 TV,519000,[LOL] 프레이 트리스타나 : 캐리? 보여줄게_200714 PraY Tristana,188045,2020. 7. 28,854,49,167,,,
2,프레이 TV,519000,[LOL] 프레이 마오카이 : 춘봉박 마오카이 서폿은 내가 원조다_200714 PraY Maokai,166955,2020. 7. 27,849,47,252,,,
3,프레이 TV,519000,[6월] 마린 형님이라고 봐주는 거 없습니다,181674,2020. 7. 27,1094,28,260,,,
4,프레이 TV,519000,[LOL] 프레이 루시안 : 루시안은 절대 침착을 들어야합니다_200707 PraY Lucian,268158,2020. 7. 13,914,82,270,,,
5,프레이 TV,519000,[LOL] 프레이 케이틀린 : 운명의 서포터를 만났습니다_200707 PraY Caitlyn,305329,2020. 7. 12,1131,87,163,,,
6,프레이 TV,519000,[LOL] 프레이 카이사 : 생방 2만명이 보는 앞에서 캐리해버리는 남자_200707 PraY Kai'sa,453320,2020. 7. 9,1469,126,237,,,
7,프레이 TV,519000,[LOL] 프레이 바루스 : 10.14패치로 너프 먹기 전 마지막 포킹바루스의 모습_200702 PraY Varus,211566,2020. 7. 8,670,54,118,,,
8,프레이 TV,519000,[LOL] 프레이 바드 : 서폿할때 가장 행복한 사람_200702 PraY Bard,209575,2020. 7. 8,819,62,166,,,
9,프레이 TV,519000,[LOL] 프레이 자야 : 감히 날 자극해? 봉.인.해.제_200630 PraY Xayah,319875,2020. 7. 6,1270,104,196,,,
10,프레이 TV,519000,[LOL] 프레이 코그모 : 16렙을 바라보는 원딜계의 카사딘..?_200630 PraY Kog'Maw,361512,2020. 7. 5,1262,112,221,,,
11,프레이 TV,519000,[LOL] 프레이 칼리스타 : 다이아 주의보! 프레이 칼리스타 등장_200627 PraY Kalista,213688,2020. 7. 3,910,78,163,,,
12,프레이 TV,519000,[LOL] 프레이 판테온 : 재밌는 서폿 찾았다! 스파르타!!!!!_200627 PraY Pantheon,409287,2020. 7. 3,1164,112,307,,,
