no,channel,subs,views,date,like,hate,review
1,침착맨,728000,"57,430",2020.7.27.,903,14,298
2,침착맨,728000,"318,700",2020.7.26.,5500,141,"1,519"
3,침착맨,728000,"121,027",2020.7.25.,1600,34,473
4,침착맨,728000,"114,529",2020.7.24.,2600,23,956
5,침착맨,728000,"103,552",2020.7.23.,1500,27,671
6,침착맨,728000,"142,808",2020.7.22.,1900,36,540
7,침착맨,728000,"178,381",2020.7.21.,2200,39,454
8,침착맨,728000,"109,052",2020.7.20.,1200,52,346
9,침착맨,728000,"114,882",2020.7.19.,1100,33,171
10,침착맨,728000,"132,669",2020.7.18.,1300,54,222
11,침착맨,728000,"103,544",2020.7.18.,859,17,177
12,침착맨,728000,"256,461",2020.7.17.,3100,66,876
13,침착맨,728000,"228,410",2020.7.16.,3000,61,553
14,침착맨,728000,"141,367",2020.7.15.,1900,41,309
15,침착맨,728000,"105,366",2020.7.14.,951,30,257
16,침착맨,728000,"85,841",2020.7.13.,833,23,189
17,침착맨,728000,"162,258",2020.7.12.,2200,57,394
18,침착맨,728000,"602,337",2020.7.11.,7300,200,"1,447"
19,침착맨,728000,"156,782",2020.7.10.,2000,30,285
20,침착맨,728000,"345,540",2020.7.9.,3400,79,757
21,(MUTUBE)와꾸대장봉준,945000,"372,336",2020.7.27.,3800,143,342
22,(MUTUBE)와꾸대장봉준,945000,"342,747",2020.7.26.,2500,149,248
23,(MUTUBE)와꾸대장봉준,945000,"360,316",2020.7.25.,1900,149,122
24,(MUTUBE)와꾸대장봉준,945000,"357,081",2020.7.24.,2800,179,243
25,(MUTUBE)와꾸대장봉준,945000,"424,018",2020.7.23.,3200,173,520
26,(MUTUBE)와꾸대장봉준,945000,"582,565",2020.7.22.,4400,243,619
27,(MUTUBE)와꾸대장봉준,945000,"624,268",2020.7.21.,5200,259,976
28,(MUTUBE)와꾸대장봉준,945000,"531,460",2020.7.19.,3000,208,234
29,(MUTUBE)와꾸대장봉준,945000,"419,753",2020.7.18.,2500,240,325
30,(MUTUBE)와꾸대장봉준,945000,"465,275",2020.7.17.,2400,127,355
31,(MUTUBE)와꾸대장봉준,945000,"475,812",2020.7.16.,3400,198,283
32,(MUTUBE)와꾸대장봉준,945000,"713,699",2020.7.14.,3900,244,665
33,(MUTUBE)와꾸대장봉준,945000,"718,150",2020.7.13.,4300,235,488
34,(MUTUBE)와꾸대장봉준,945000,"648,674",2020.7.12.,3600,202,297
