channel,scriber,view,date,weekday
프레이,520000,246771,2020년 7월 13일,2
프레이,520000,296836,2020년 7월 11일,7
프레이,520000,435537,2020년 7월 9일,5
프레이,520000,206878,2020년 7월 8일,4
프레이,520000,205653,2020년 7월 7일,3
프레이,520000,312547,2020년 7월 6일,2
프레이,520000,353415,2020년 7월 5일,1
프레이,520000,210250,2020년 7월 3일,6
프레이,520000,397162,2020년 7월 2일,5
프레이,520000,242392,2020년 7월 1일,4
블러드문,70000,87235,2020년 6월 30일,3
블러드문,70000,80437,2020년 6월 28일,1
블러드문,70000,151560,2020년 6월 27일,7
블러드문,70000,113692,2020년 6월 24일,4
블러드문,70000,230641,2020년 6월 20일,7
블러드문,70000,97310,2020년 6월 6일,7
블러드문,70000,151611,2020년 6월 8일,2
블러드문,70000,160556,2020년 6월 11일,5
블러드문,70000,321175,2020년 6월 13일,7
블러드문,70000,135234,2020년 6월 17일,4
텔론,950000,637430,2020년 7월 17일,6
텔론,950000,750732,2020년 7월 15일,4
텔론,950000,842801,2020년 7월 12일,1
텔론,950000,772590,2020년 7월 10일,6
텔론,950000,655040,2020년 7월 8일,4
텔론,950000,891674,2020년 7월 6일,2
텔론,950000,811032,2020년 7월 3일,6
텔론,950000,843012,2020년 7월 1일,4
텔론,950000,916284,2020년 6월 29일,2
텔론,950000,1007864,2020년 6월 27일,7
가재맨,84000,47167,2020년 7월 22일,4
가재맨,84000,89903,2020년 7월 21일,3
가재맨,84000,87950,2020년 7월 16일,5
가재맨,84000,71191,2020년 7월 15일,4
가재맨,84000,78719,2020년 7월 13일,2
가재맨,84000,80434,2020년 7월 11일,7
가재맨,84000,86320,2020년 7월 9일,5
가재맨,84000,95971,2020년 7월 7일,3
가재맨,84000,139543,2020년 7월 5일,1
가재맨,84000,74998,2020년 7월 3일,6
괴물쥐,630000,766541,2020년 7월 18일,7
괴물쥐,630000,709682,2020년 7월 17일,6
괴물쥐,630000,707796,2020년 7월 16일,5
괴물쥐,630000,790524,2020년 7월 15일,4
괴물쥐,630000,600842,2020년 7월 14일,3
괴물쥐,630000,686185,2020년 7월 13일,2
괴물쥐,630000,471115,2020년 7월 13일,2
괴물쥐,630000,891686,2020년 7월 12일,1
괴물쥐,630000,837498,2020년 7월 10일,6
괴물쥐,630000,766290,2020년 7월 9일,5
이석현,455000,2851,2020년 7월 23일,5
이석현,455000,90782,2020년 7월 22일,4
이석현,455000,110739,2020년 7월 21일,3
이석현,455000,126990,2020년 7월 20일,2
이석현,455000,54366,2020년 7월 19일,1
이석현,455000,104619,2020년 7월 18일,7
이석현,455000,130577,2020년 7월 17일,6
